iter	Passed	Remaining
0	3	344
1	6	317
2	10	338
3	12	309
4	15	298
5	18	288
6	20	275
7	24	286
8	27	277
9	30	270
10	32	264
11	35	258
12	38	254
13	40	250
14	43	246
15	46	241
16	48	236
17	50	230
18	54	232
19	56	227
20	59	223
21	61	219
22	64	215
23	67	212
24	71	215
25	74	212
26	76	207
27	78	202
28	81	198
29	84	197
30	86	192
31	88	188
32	91	185
33	93	181
34	96	178
35	99	176
36	100	171
37	102	167
38	104	163
39	106	160
40	109	157
41	110	152
42	114	151
43	116	148
44	119	145
45	121	142
46	123	139
47	125	136
48	129	135
49	132	132
50	135	130
51	138	127
52	140	124
53	143	122
54	144	118
55	147	115
56	149	112
57	151	109
58	154	107
59	155	103
60	158	101
61	159	97
62	162	95
63	164	92
64	167	90
65	170	87
66	173	85
67	174	82
68	176	79
69	179	76
70	181	74
71	183	71
72	184	68
73	188	66
74	190	63
75	192	60
76	195	58
77	197	55
78	199	53
79	202	50
80	204	47
81	207	45
82	209	42
83	212	40
84	214	37
85	217	35
86	220	32
87	222	30
88	224	27
89	227	25
90	228	22
91	232	20
92	234	17
93	236	15
94	238	12
95	240	10
96	242	7
97	244	4
98	245	2
99	248	0
